Dates,News,sentiment,probabilities
13-09-2017,gold suffers third straight daily decline,neutral,[0.02663359 0.9320141  0.04135231]
28-02-2018,dent research : is gold's day in the sun coming soon?,positive,[0.05900801 0.02633485 0.9146572 ]
06-09-2017,"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",negative,[0.4886155  0.22143883 0.28994563]
16-03-2018,"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",negative,[0.93694174 0.03632999 0.02672821]
28-07-2017,"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",negative,[0.51928973 0.09720761 0.38350272]
22-09-2017,"gold prices rebound rs 350 on global cues, weak rupee",neutral,[0.03810981 0.95001006 0.01188016]
04-09-2018,"Gold futures down at Rs 30,244 ",neutral,[0.00931789 0.94958174 0.04110035]
04-09-2018,"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",negative,[0.91726846 0.02004113 0.06269044]
03-02-2017,gold to trade in 28670-29160 range: achiievers equities,positive,[0.07070164 0.02133248 0.9079659 ]
25-09-2017,Gold prices finish at a more than one-week high,neutral,[0.27980945 0.62795645 0.09223408]
28-02-2018,india : is gold a good investment in a volatile market?,positive,[0.2327359  0.01424245 0.75302166]
30-01-2017,"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",negative,[0.91455984 0.05288467 0.03255548]
26-10-2017,"KAZ Minerals lifts copper, gold guidance",positive,[0.36895582 0.01633184 0.61471236]
28-02-2017,Gold little-changed after data,positive,[0.20095345 0.08532734 0.7137192 ]
27-11-2017,germany : why gold market in germany is thriving,positive,[0.04131755 0.35716066 0.60152173]
23-11-2018,Gold edges up ahead of G20 meeting; set to post second weekly gain,negative,[0.9245136  0.03362598 0.04186036]
20-06-2018,charts : gold gld etf update - breakdown ?,positive,[0.02175758 0.06165297 0.91658944]
21-03-2018,Gold Prices Hold onto Gains Ahead of FOMC Statement,negative,[0.7753621  0.12076141 0.10387653]
10-08-2017,"December gold trades 0.8% higher at $1,289/oz.",negative,[0.892781   0.07948963 0.02772928]
21-05-2018,gold bulls push for the exits on strong dollar and lack of fear,negative,[0.6262779  0.1765797  0.19714238]
18-08-2017,"gold prices rise for a third day, buoyed by geopolitical worries",negative,[0.9001137 0.0458494 0.0540369]
01-12-2017,Gold holds near 3-1/2 week low as investors opt for riskier assets,neutral,[0.03117852 0.92465895 0.0441625 ]
16-02-2018,"gold ends higher, logs biggest weekly gain since 2016",negative,[0.9335073  0.03716192 0.02933077]
16-06-2017,"August gold rises 0.2% at $1,257.50/oz.",negative,[0.7972901  0.16326874 0.03944112]
27-09-2017,gold edges down as dollar gains on fed rate hike view,neutral,[0.10435943 0.8411502  0.05449032]
20-09-2018,van eck : tighter global monetary policy to support gold market,negative,[0.90079236 0.03646863 0.06273904]
06-06-2018,"Gold rebounds to Rs 31,860 on firm global cues",negative,[0.7872179  0.16634022 0.04644192]
11-09-2017,gold prices settle at lowest level in more than a week,neutral,[0.01300559 0.926327   0.06066733]
22-02-2017,"Gold jumps 0.3% from settlement price after Fed minutes to $1,237.40 an ounce",negative,[0.9047233  0.05604135 0.03923542]
02-10-2017,gold prices settle at lowest level in nearly 8 weeks,neutral,[0.01098642 0.92951685 0.05949673]
26-10-2017,gold gains on weaker dollar; markets brace for ecb decision,neutral,[0.26334485 0.61076057 0.12589456]
12-12-2017,gold holds modest loss after ppi report,neutral,[0.14649162 0.81599474 0.03751372]
28-11-2017,February gold contract notches highest settlement in over a week,negative,[0.8036723  0.12727897 0.06904875]
27-07-2017,"August gold climbs by $10.60, or 0.9%, to settle at $1,260/oz",negative,[0.88711673 0.07556577 0.03731745]
11-01-2018,debt : global debt surges - gold and silver investors' patience will soon pay off,negative,[0.6505844  0.18139471 0.16802086]
30-08-2017,"gold surrenders 11-month highs on stronger dollar, upbeat economic data",negative,[0.8512623  0.087709   0.06102881]
12-06-2018,when will gold's 'summer doldrums' end? history says pretty soon,positive,[0.03154597 0.07071496 0.8977391 ]
29-06-2017,Gold ends lower as rise in government bond yields dulls investment interest,neutral,[0.03179482 0.94039506 0.02781014]
05-01-2018,gold holds modest loss after ism services data,neutral,[0.11680779 0.84620875 0.03698342]
03-05-2018,gold futures mark first gain in four sessions,negative,[0.6331747  0.08666817 0.2801571 ]
26-01-2017,gold ends at lowest level in over 2 weeks as dollar strengthens,neutral,[0.01251542 0.94966304 0.03782154]
13-04-2018,abc refinery gains shanghai gold exchange accreditation,negative,[0.65208364 0.04721019 0.30070615]
06-07-2018,natixis : look for gold to rally in september as usd weakens,negative,[0.73953927 0.16468239 0.09577827]
24-10-2017,silver steals the shine as gold loses lustre,positive,[0.06537404 0.20607471 0.72855127]
10-10-2017,"Dec. gold settles at $1,293.80/oz, up $8.80, or 0.7%",negative,[0.9414936  0.03401215 0.02449418]
06-07-2018,Gold prices to trade lower today: Angel Commodities,neutral,[0.02692681 0.7948006  0.17827263]
09-01-2018,india : jewellers & bullion traders spar over gold import duty,positive,[0.18679626 0.35389632 0.45930746]
20-07-2017,"August gold settles at $1,245.50/oz, up $3.50, or 0.3%",negative,[0.9407846  0.03496721 0.02424826]
08-01-2018,Gold Prices Remain Lower on Stronger U.S. Dollar,neutral,[0.08242407 0.8901793  0.02739662]
05-01-2018,gold prices pull back from 4-month highs,neutral,[0.0608121  0.9166956  0.02249227]
20-08-2018,how trumpenomics torpedoed gold prices,positive,[0.06553424 0.14022271 0.7942431 ]
20-07-2017,"august gold off 0.5% at $1,253.90/oz.",neutral,[0.03352479 0.9447579  0.02171742]
26-06-2017,"August gold down $10, or 0.8%, to settle at $1,246.40/oz",neutral,[0.01874199 0.9603876  0.02087041]
28-03-2017,"April gold down $1.60, or 0.1%, at $1,254.10/oz after highs above $1,258",neutral,[0.01683195 0.9665353  0.01663279]
09-01-2017,"Feb. gold settles at $1,184.90/oz, up $11.50, or about 1%",negative,[0.9426426  0.03069565 0.0266617 ]
16-11-2017,"gold rate today: gold, silver down in morning trade",neutral,[0.01930114 0.9192167  0.06148213]
21-03-2018,gold futures finish at a 1-week high ahead of fed decision,negative,[0.59471965 0.17440125 0.23087913]
20-02-2018,fred hickey - buy gold,positive,[0.05754574 0.01564499 0.92680925]
07-09-2017,"December gold up 0.3% at $1,343.30/oz.",negative,[0.877814   0.09060371 0.03158229]
05-12-2017,Here's what's driving bitcoin buyers' rush to 'millennial gold',positive,[0.06977518 0.02046472 0.9097601 ]
27-11-2017,"Dec. gold settles at $1,294.40/oz, up $7.10, or 0.6%",negative,[0.938864   0.03639692 0.0247391 ]
02-02-2017,Gold futures log highest settlement since mid-November,negative,[0.6084467  0.310232   0.08132128]
01-11-2018,"Gold glitters ahead of Dhanteras, Diwali",positive,[0.06651976 0.0324121  0.9010681 ]
17-03-2017,"April gold settles at $1,230.20/bbl, up $3.10, or 0.3%",negative,[0.9360935  0.03903677 0.02486979]
04-05-2018,"gold futures end slightly higher, but tally a third straight weekly loss",negative,[0.6265535  0.34187028 0.03157631]
02-03-2017,have a question about gold? ask the author of 'precious metals investing for dummies' now,positive,[0.04333901 0.02962659 0.9270344 ]
07-12-2018,sharps pixley: chinese gold demand slipping - but still up y-o-y,neutral,[0.0403371  0.9421894  0.01747353]
13-10-2017,Expect Gold to trade sideways: Sushil Finance,positive,[0.13973959 0.02892718 0.8313332 ]
31-07-2017,today gold price: track today gold rate latest trends and news,positive,[0.02915091 0.03542697 0.93542206]
06-08-2018,sge : daily shanghai gold benchmark price,positive,[0.03101241 0.02410522 0.9448824 ]
13-02-2017,Gold suffers from biggest single-day dollar and percentage loss since Jan. 25,neutral,[0.01945301 0.9707319  0.00981507]
11-04-2018,rjo futures : gold versus silver: q2 to benefit the white metals,negative,[0.8984086  0.02083569 0.08075573]
31-10-2017,Gold prices end the month with a loss of about 1.1%,neutral,[0.01692271 0.9593833  0.02369392]
22-11-2017,hong kong : world's top jeweler reveals growing appetite for gold in china,negative,[0.93763113 0.01807879 0.04428999]
18-09-2017,"low inflation phase not for realty, gold; hence investors rushing to equity: ashwini agarwal, ashmore investment",positive,[0.07266003 0.01414867 0.91319126]
18-04-2018,Gold slips as dollar steadies on positive US data,neutral,[0.21932063 0.70176846 0.07891096]
31-10-2018,"Gold industry sees prices rising to $1,532/oz over 12 months",negative,[0.9307755  0.01282499 0.05639948]
08-03-2018,Gold Prices Edge Higher With All Eyes on U.S. Tariffs,negative,[0.7338141  0.13448445 0.13170145]
27-04-2018,"june gold up 0.2% at $1,319.90/oz.",negative,[0.8169842  0.14090474 0.04211112]
29-05-2018,"august gold trades at $1,300.10/oz, down $8.90, or 0.7%",neutral,[0.00877938 0.9743256  0.01689507]
12-11-2018,Gold futures up 0.36% on positive global cues,negative,[0.8678423  0.08556544 0.04659228]
25-04-2017,"Gold futures dip to Rs 29,012 on weak global cues",neutral,[0.01350713 0.9628038  0.02368915]
05-12-2017,gold holds steady amid softer dollar,negative,[0.85389376 0.07391693 0.07218935]
14-12-2017,gold rises to 1-week high as dollar holds steady,negative,[0.9021638  0.03302249 0.06481359]
02-11-2018,gold prices fall for the session to post a modest loss for the week,neutral,[0.15050055 0.83195686 0.0175425 ]
10-01-2017,"Gold futures pare gains, but still finish at a 6-week high",negative,[0.5190556  0.4260598  0.05488452]
11-05-2018,reserve bank of india adds 2.5 tonnes of gold to forex reserves in q4,negative,[0.5511196  0.0282565  0.42062396]
04-10-2017,"Gold futures rise to Rs 29,416",positive,[0.4376886  0.05725228 0.50505906]
21-08-2017,"Dec. gold settles at $1,296.70/oz, up $5.10, or 0.4%",negative,[0.93815774 0.03728231 0.02455991]
24-04-2017,"june gold futures fall $11.60, or 0.9%, to settle at $1,277.50 an ounce",neutral,[0.01703838 0.9549248  0.02803679]
06-10-2017,Gold future extend losses after jobs report,neutral,[0.05947206 0.88713694 0.05339107]
28-08-2018,hedge funds kept betting against gold even as prices began rally,positive,[0.36277056 0.07554459 0.56168485]
16-08-2017,current gold rate: check out current gold price,positive,[0.03584839 0.02289458 0.94125706]
18-04-2018,2018 gold price 'could hit $1450',positive,[0.18267457 0.22824138 0.5890841 ]
11-01-2017,"gold rallies to finish near $1,200 as trump fuels market uncertainty",negative,[0.7130514  0.13614413 0.15080443]
22-01-2018,gold prices on track to settle lower for the session,neutral,[0.01918687 0.94686216 0.03395094]
02-05-2018,Fading aura: Gold set for further correction,positive,[0.265312   0.13209532 0.60259265]
24-11-2017,gold's 47-year bull market,positive,[0.1993192  0.02184065 0.7788402 ]
10-04-2018,dubai loses glitter as vat tax crimps demand in city of gold,neutral,[0.01685987 0.9603304  0.02280978]
04-05-2017,"June gold down 1.5% at $1,230.40/oz.",neutral,[0.01035001 0.96920544 0.02044454]
24-08-2017,Gold settles lower as investors look to Jackson Hole,neutral,[0.07887848 0.79346067 0.12766089]
27-09-2018,inflation : long-term evidence: gold and inflation,positive,[0.06884243 0.03190985 0.8992477 ]
31-05-2018,"gold prices edge higher on weaker dollar, trade tensions",negative,[0.5413434  0.40028718 0.05836939]
29-08-2017,Gold's 2016 peak now looks easy to reach after the metal's big breakout,negative,[0.6976166  0.02102679 0.28135657]
20-01-2017,"Feb. gold settles at $1,204.90/oz, up $3.40, or 0.3%",negative,[0.9380629  0.03714244 0.02479465]
